ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl,F,A,I,R,F1,F2,F3,A1,A3,I1,I2,I3,R1,R2,R3,R4,F1_1,F1_2,F2_1,F2_2,F3_1,F3_2,F3_3,A1_2,A1_3,A1_4,A1_5,A3_2,A3_3,A3_4,A3_5,I1_1,I1_3,I1_4,I2_1,I2_2,I3_1,I3_2,I3_3,R1_1,R2_1,R3_2,R4_1
Compact,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100103,https://csdms.colorado.edu/wiki/Model:Compact,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
CryoGrid3,Cryosphere,https://github.com/CryoGrid/CryoGrid3,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:CryoGrid3,0.72,0.0,0.0,0.2,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
DFMFON,Coastal,https://github.com/smbeselly/DFMFON,Through web repository,1,Java,,https://csdms.colorado.edu/wiki/Model:DFMFON,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DHSVM,Hydrology,https://github.com/pnnl/DHSVM-PNNL,Through web repository,1,C,,https://csdms.colorado.edu/wiki/Model:DHSVM,0.72,0.0,0.0,0.2,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dakotathon,Climate,https://github.com/csdms/dakota,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:Dakotathon,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DbSEABED Data Component,Carbonates and Biogenics,https://github.com/gantian127/bmi_dbseabed,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DbSEABED_Data_Component,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Demeter,Terrestrial,https://github.com/JGCRI/demeter,Through web repository,1,Python,10.5281/zenodo.3234948,https://csdms.colorado.edu/wiki/Model:Demeter,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
DepressionFinderAndRouter,Hydrology,https://github.com/landlab/landlab/tree/master/landlab/components/overland_flow,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepressionFinderAndRouter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepthDependentDiffuser,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab/components/depth_dependent_diffusion,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepthDependentDiffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepthDependentTaylorDiffuser,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepthDependentTaylorDiffuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
